鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南港區,房地(土地+建物)+車位,臺北市南港區興中路68巷1~30號,18.57,商,,,1081201,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060707,250.61,4,2,2,有,有,48000000,191533,坡道平面,38.65,0,,RPWOMLQJKHPFFDA58CA
內湖區,房地(土地+建物),臺北市內湖區麗山街31~60號,34.53,住,,,1081219,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,97.12,3,2,1,有,無,10000000,102965,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLSKKHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區八德路二段88巷1~30號,18.75,住,,,1081221,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621109,50.6,2,1,1,有,無,9400000,185771,,0.0,0,含增建或未登記建物。;,RPSPMLTKKHPFFCA58CA
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~30號,53.42,住,,,1081210,土地1建物1車位3,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000503,429.88,4,2,2,有,有,103500000,285786,坡道平面,109.71,12000000,,RPQRMLNKKHPFFCA97CA
中山區,房地(土地+建物),臺北市中山區林森北路91~120號,5.65,商,,,1081213,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700422,68.22,2,1,1,有,有,8990000,131780,,0.0,0,,RPXNMLOKKHPFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區文湖街21巷94弄1~30號,18.53,住,,,1081229,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830826,72.81,2,2,1,有,無,11880000,163164,,0.0,0,,RPTNMLRKKHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段451巷1~30號,48.12,其他,,,1090106,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981208,223.9,4,2,2,有,有,38000000,184835,坡道平面,33.46,2800000,,RPVNMLRKKHPFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區松江路184巷26弄1~30號,8.99,住,,,1081229,土地2建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971202,62.64,2,1,1,有,有,14900000,237867,升降機械,11.33,0,含增建或未登記建物。;,RPTPMLKKKHPFFCA77CA
內湖區,房地(土地+建物),臺北市內湖區新明路475巷1~30號,19.6,住,,,1081221,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,71.4,1,1,1,有,無,8380000,117367,,0.0,0,含增建或未登記建物。;,RPRNMLKKKHPFFCA37CA
內湖區,土地,石潭段二小段91~120地號,494.1,其他,,,1090108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,8500,,0.0,0,包含公共設施保留地之交易。;,RPRQMLNKKHPFFCA97CA
